logMstar logphistar M1500 logphi1500 MB logphiB MJ logphiJ
3.83 0.87 -22.34 -4.10 -22.01 -4.18 -22.34 -4.19
4.48 0.62 -20.66 -3.35 -20.37 -3.35 -20.66 -3.35
5.13 0.35 -18.97 -2.64 -18.72 -2.51 -18.97 -2.64
5.78 -0.09 -17.28 -1.84 -17.07 -1.81 -17.28 -1.86
6.43 -0.56 -15.59 -1.25 -15.42 -1.27 -15.59 -1.29
7.08 -1.12 -13.91 -0.80 -13.77 -0.70 -13.91 -0.70
7.74 -1.66 -12.22 -0.41 -12.12 -0.30 -12.22 -0.27
8.39 -2.32 -10.53 -0.06 -10.47 0.11 -10.53 0.13
9.04 -2.88 -8.84 0.24 -8.83 0.42 -8.84 0.48
9.69 -3.98
